Station ID,Area,Lat,Lon,Rate (PPT/yr)
CB1.1,Mainstem,39.54794,-76.08481,-6.918579477782106e-06
CB2.1,Mainstem,39.44149,-76.02599,0.005476345874440843
CB2.2,Mainstem,39.34873,-76.17579,-0.017119857521737773
CB3.1,Mainstem,39.2495,-76.2405,-0.005725130085498509
CB3.2,Mainstem,39.16369,-76.30631,0.002093187787519499
CB3.3C,Mainstem,38.99596,-76.35967,-0.008559404456819212
CB3.3E,Mainstem,39.00412,-76.34517,-0.0009476403609099145
CB3.3W,Mainstem,39.00462,-76.3881,-0.004755523506982687
CB4.1C,Mainstem,38.82593,-76.39945,0.009613116078153624
CB4.1E,Mainstem,38.81809,-76.37144,0.009234452717023169
CB4.1W,Mainstem,38.81498,-76.46272,0.01008698304495432
CB4.2C,Mainstem,38.64618,-76.42127,0.012975426359688676
CB4.2E,Mainstem,38.64498,-76.40131,0.009942007492719607
CB4.2W,Mainstem,38.64354,-76.50217,0.026759951605927833
CB4.3C,Mainstem,38.55505,-76.42794,0.010581432017285132
CB4.3E,Mainstem,38.55624,-76.39121,-0.0002905455824312329
CB4.3W,Mainstem,38.55728,-76.49402,0.028773462028064953
CB4.4,Mainstem,38.41457,-76.34565,0.017152037371481122
CB5.1,Mainstem,38.3187,-76.29215,0.0217878806805479
CB5.2,Mainstem,38.13705,-76.22787,0.01942309658624246
CB5.3,Mainstem,37.91011,-76.17137,-0.0010713106985292774
CB5.4,Mainstem,37.80013,-76.17466,0.04267547366695675
CB5.4W,Mainstem,37.81347,-76.29467,0.024757356321809507
CB5.5,Mainstem,37.6918,-76.18967,0.021337298528351627
CB6.1,Mainstem,37.58847,-76.16216,0.02216142707347362
CB6.2,Mainstem,37.4868,-76.15633,0.02244782282847793
CB6.3,Mainstem,37.41153,-76.15966,0.018894474056628155
CB6.4,Mainstem,37.23653,-76.20799,0.021516130966824438
CB7.1,Mainstem,37.68346,-75.98966,0.014408242857346945
CB7.1N,Mainstem,37.77513,-75.97466,0.02393434407822741
CB7.1S,Mainstem,37.58124,-76.05799,0.03145775552308448
CB7.2,Mainstem,37.41153,-76.07966,0.044253452976024156
CB7.2E,Mainstem,37.41153,-76.02466,0.02793242188629116
